Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
ConsolidatorSmoke,Chrome 74.0.3729.157,,,2019-05-21 14:41:17,2019-05-21 14:43:05,1m - 47.613s,PASSED
,,,,,,,
Test Cases/IIDT/DT SMOKE/LoginDesignTracker,Chrome 74.0.3729.157,,,2019-05-21 14:41:17,2019-05-21 14:41:35,18.168s,PASSED
"openBrowser("""")",Chrome 74.0.3729.157,,,2019-05-21 14:41:18,2019-05-21 14:41:23,4.958s,PASSED
"navigateToUrl(""http://designtracker.uat.brandmuscle.net/login.aspx?ReturnUrl=%2f"")",Chrome 74.0.3729.157,,,2019-05-21 14:41:23,2019-05-21 14:41:27,3.654s,PASSED
maximizeWindow(),Chrome 74.0.3729.157,,,2019-05-21 14:41:27,2019-05-21 14:41:28,1.167s,PASSED
"setText(findTestObject(""DESIGNTRACKER/LoginPage/Page_DesignTrackerLogin/UserName""), ""dibyashree.jyoti@brandmuscle.com"")",Chrome 74.0.3729.157,,,2019-05-21 14:41:28,2019-05-21 14:41:28,0.224s,PASSED
"setEncryptedText(findTestObject(""DESIGNTRACKER/LoginPage/Page_DesignTrackerLogin/Password""), ""8bxY5gEhEkwKDaQT9s4tsg=="")",Chrome 74.0.3729.157,,,2019-05-21 14:41:28,2019-05-21 14:41:28,0.246s,PASSED
"click(findTestObject(""DESIGNTRACKER/LoginPage/Page_DesignTrackerLogin/LoginBtn""))",Chrome 74.0.3729.157,,,2019-05-21 14:41:28,2019-05-21 14:41:32,3.187s,PASSED
waitForPageLoad(30),Chrome 74.0.3729.157,,,2019-05-21 14:41:32,2019-05-21 14:41:32,0.046s,PASSED
"click(findTestObject(""DESIGNTRACKER/HomePage/Page_DesignTracker -  Brandmuscle/LogOutLink""))",Chrome 74.0.3729.157,,,2019-05-21 14:41:32,2019-05-21 14:41:33,0.918s,PASSED
closeBrowser(),Chrome 74.0.3729.157,,,2019-05-21 14:41:33,2019-05-21 14:41:33,0.831s,PASSED
,,,,,,,
Test Cases/IIDT/DT SMOKE/VerifyJobClosingPage,Chrome 74.0.3729.157,,,2019-05-21 14:41:35,2019-05-21 14:41:51,16.050s,PASSED
"openBrowser("""")",Chrome 74.0.3729.157,,,2019-05-21 14:41:36,2019-05-21 14:41:38,2.471s,PASSED
"navigateToUrl(""http://designtracker.uat.brandmuscle.net/"")",Chrome 74.0.3729.157,,,2019-05-21 14:41:38,2019-05-21 14:41:42,3.633s,PASSED
maximizeWindow(),Chrome 74.0.3729.157,,,2019-05-21 14:41:42,2019-05-21 14:41:43,1.190s,PASSED
