Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
DTSmoke,Chrome 74.0.3729.157,,,2019-05-21 14:16:15,2019-05-21 14:18:05,1m - 49.935s,PASSED
,,,,,,,
Test Cases/IIDT/DT SMOKE/VerifyJobClosingPage,Chrome 74.0.3729.157,,,2019-05-21 14:16:15,2019-05-21 14:16:56,40.648s,PASSED
"openBrowser("""")",Chrome 74.0.3729.157,,,2019-05-21 14:16:15,2019-05-21 14:16:19,3.936s,PASSED
"navigateToUrl(""http://designtracker.uat.brandmuscle.net/"")",Chrome 74.0.3729.157,,,2019-05-21 14:16:19,2019-05-21 14:16:32,13.046s,PASSED
maximizeWindow(),Chrome 74.0.3729.157,,,2019-05-21 14:16:32,2019-05-21 14:16:33,1.171s,PASSED
waitForPageLoad(30),Chrome 74.0.3729.157,,,2019-05-21 14:16:33,2019-05-21 14:16:33,0.083s,PASSED
"waitForElementVisible(findTestObject(""DESIGNTRACKER/LoginPage/Page_DesignTrackerLogin/UserName""), 30)",Chrome 74.0.3729.157,,,2019-05-21 14:16:33,2019-05-21 14:16:34,0.086s,PASSED
"setText(findTestObject(""DESIGNTRACKER/LoginPage/Page_DesignTrackerLogin/UserName""), ""dibyashree.jyoti@brandmuscle.com"")",Chrome 74.0.3729.157,,,2019-05-21 14:16:34,2019-05-21 14:16:34,0.151s,PASSED
"waitForElementVisible(findTestObject(""DESIGNTRACKER/LoginPage/Page_DesignTrackerLogin/Password""), 30)",Chrome 74.0.3729.157,,,2019-05-21 14:16:34,2019-05-21 14:16:34,0.041s,PASSED
"setText(findTestObject(""DESIGNTRACKER/LoginPage/Page_DesignTrackerLogin/Password""), ""dibya@1234"")",Chrome 74.0.3729.157,,,2019-05-21 14:16:34,2019-05-21 14:16:34,0.100s,PASSED
"waitForElementVisible(findTestObject(""DESIGNTRACKER/LoginPage/Page_DesignTrackerLogin/LoginBtn""), 30)",Chrome 74.0.3729.157,,,2019-05-21 14:16:34,2019-05-21 14:16:34,0.040s,PASSED
"click(findTestObject(""DESIGNTRACKER/LoginPage/Page_DesignTrackerLogin/LoginBtn""))",Chrome 74.0.3729.157,,,2019-05-21 14:16:34,2019-05-21 14:16:54,19.959s,PASSED
waitForPageLoad(30),Chrome 74.0.3729.157,,,2019-05-21 14:16:54,2019-05-21 14:16:54,0.016s,PASSED
"waitForElementVisible(findTestObject(""DESIGNTRACKER/HomePage/Page_DesignTracker -  Brandmuscle/SITEADMINISTRATION""), 30)",Chrome 74.0.3729.157,,,2019-05-21 14:16:54,2019-05-21 14:16:54,0.039s,PASSED
"mouseOverOffset(findTestObject(""DESIGNTRACKER/HomePage/Page_DesignTracker -  Brandmuscle/SITEADMINISTRATION""), 0, 0)",Chrome 74.0.3729.157,,,2019-05-21 14:16:54,2019-05-21 14:16:54,0.062s,PASSED
"waitForElementVisible(findTestObject(""DESIGNTRACKER/HomePage/Page_DesignTracker -  Brandmuscle/JOB CLOSING""), 30)",Chrome 74.0.3729.157,,,2019-05-21 14:16:54,2019-05-21 14:16:54,0.060s,PASSED
"mouseOver(findTestObject(""DESIGNTRACKER/HomePage/Page_DesignTracker -  Brandmuscle/JOB CLOSING""))",Chrome 74.0.3729.157,,,2019-05-21 14:16:54,2019-05-21 14:16:54,0.053s,PASSED
"click(findTestObject(""DESIGNTRACKER/HomePage/Page_DesignTracker -  Brandmuscle/JOB CLOSING""))",Chrome 74.0.3729.157,,,2019-05-21 14:16:54,2019-05-21 14:16:55,0.772s,PASSED
waitForPageLoad(30),Chrome 74.0.3729.157,,,2019-05-21 14:16:55,2019-05-21 14:16:55,0.021s,PASSED
closeBrowser(),Chrome 74.0.3729.157,,,2019-05-21 14:16:55,2019-05-21 14:16:56,0.705s,PASSED
,,,,,,,
Test Cases/IIDT/DT SMOKE/VerifyNewJobPage,Chrome 74.0.3729.157,,,2019-05-21 14:16:56,2019-05-21 14:17:10,14.807s,PASSED
"openBrowser(""http://designtracker.uat.brandmuscle.net"")",Chrome 74.0.3729.157,,,2019-05-21 14:16:56,2019-05-21 14:17:03,7.497s,PASSED
maximizeWindow(),Chrome 74.0.3729.157,,,2019-05-21 14:17:03,2019-05-21 14:17:04,1.188s,PASSED
waitForPageLoad(30),Chrome 74.0.3729.157,,,2019-05-21 14:17:04,2019-05-21 14:17:05,0.032s,PASSED
"setText(findTestObject(""DESIGNTRACKER/LoginPage/Page_DesignTrackerLogin/UserName""), ""dibyashree.jyoti@brandmuscle.com"")",Chrome 74.0.3729.157,,,2019-05-21 14:17:05,2019-05-21 14:17:05,0.166s,PASSED
"setText(findTestObject(""DESIGNTRACKER/LoginPage/Page_DesignTrackerLogin/Password""), ""dibya@1234"")",Chrome 74.0.3729.157,,,2019-05-21 14:17:05,2019-05-21 14:17:05,0.118s,PASSED
"waitForElementVisible(findTestObject(""DESIGNTRACKER/LoginPage/Page_DesignTrackerLogin/LoginBtn""), 30)",Chrome 74.0.3729.157,,,2019-05-21 14:17:05,2019-05-21 14:17:05,0.038s,PASSED
"click(findTestObject(""DESIGNTRACKER/LoginPage/Page_DesignTrackerLogin/LoginBtn""))",Chrome 74.0.3729.157,,,2019-05-21 14:17:05,2019-05-21 14:17:07,2.618s,PASSED
waitForPageLoad(30),Chrome 74.0.3729.157,,,2019-05-21 14:17:07,2019-05-21 14:17:07,0.010s,PASSED
"waitForElementVisible(findTestObject(""DESIGNTRACKER/HomePage/Page_DesignTracker -  Brandmuscle/Jobs""), 30)",Chrome 74.0.3729.157,,,2019-05-21 14:17:07,2019-05-21 14:17:08,0.049s,PASSED
"mouseOverOffset(findTestObject(""DESIGNTRACKER/HomePage/Page_DesignTracker -  Brandmuscle/Jobs""), 0, 0)",Chrome 74.0.3729.157,,,2019-05-21 14:17:08,2019-05-21 14:17:08,0.052s,PASSED
"waitForElementVisible(findTestObject(""DESIGNTRACKER/HomePage/Page_DesignTracker -  Brandmuscle/New""), 30)",Chrome 74.0.3729.157,,,2019-05-21 14:17:08,2019-05-21 14:17:08,0.568s,PASSED
"mouseOver(findTestObject(""DESIGNTRACKER/HomePage/Page_DesignTracker -  Brandmuscle/New""))",Chrome 74.0.3729.157,,,2019-05-21 14:17:08,2019-05-21 14:17:08,0.039s,PASSED
"click(findTestObject(""DESIGNTRACKER/HomePage/Page_DesignTracker -  Brandmuscle/New""))",Chrome 74.0.3729.157,,,2019-05-21 14:17:08,2019-05-21 14:17:09,1.020s,PASSED
waitForPageLoad(30),Chrome 74.0.3729.157,,,2019-05-21 14:17:09,2019-05-21 14:17:09,0.014s,PASSED
"waitForElementVisible(findTestObject(""DESIGNTRACKER/JobNew/Page_DesignTracker -  Brandmuscle/CorporationDropDown""), 30)",Chrome 74.0.3729.157,,,2019-05-21 14:17:09,2019-05-21 14:17:09,0.046s,PASSED
"verifyElementVisible(findTestObject(""DESIGNTRACKER/JobNew/Page_DesignTracker -  Brandmuscle/CorporationDropDown""))",Chrome 74.0.3729.157,,,2019-05-21 14:17:09,2019-05-21 14:17:09,0.029s,PASSED
"waitForElementVisible(findTestObject(""DESIGNTRACKER/JobNew/Page_DesignTracker -  Brandmuscle/SupplierDistributorDropdown""), 30)",Chrome 74.0.3729.157,,,2019-05-21 14:17:09,2019-05-21 14:17:09,0.032s,PASSED
"verifyElementVisible(findTestObject(""DESIGNTRACKER/JobNew/Page_DesignTracker -  Brandmuscle/SupplierDistributorDropdown""))",Chrome 74.0.3729.157,,,2019-05-21 14:17:09,2019-05-21 14:17:09,0.025s,PASSED
"waitForElementVisible(findTestObject(""DESIGNTRACKER/JobNew/Page_DesignTracker -  Brandmuscle/SalesPersonDropDown""), 30)",Chrome 74.0.3729.157,,,2019-05-21 14:17:09,2019-05-21 14:17:09,0.034s,PASSED
"verifyElementVisible(findTestObject(""DESIGNTRACKER/JobNew/Page_DesignTracker -  Brandmuscle/SalesPersonDropDown""))",Chrome 74.0.3729.157,,,2019-05-21 14:17:09,2019-05-21 14:17:09,0.026s,PASSED
"waitForElementVisible(findTestObject(""DESIGNTRACKER/JobNew/Page_DesignTracker -  Brandmuscle/AccontDropDown""), 30)",Chrome 74.0.3729.157,,,2019-05-21 14:17:09,2019-05-21 14:17:09,0.036s,PASSED
"verifyElementVisible(findTestObject(""DESIGNTRACKER/JobNew/Page_DesignTracker -  Brandmuscle/AccontDropDown""))",Chrome 74.0.3729.157,,,2019-05-21 14:17:09,2019-05-21 14:17:09,0.025s,PASSED
